                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6184,                 1.2429,                 1.3523,                0.76846,                0.56501,                0.63845,                 0.3154,                 1.6713,                  1.171,                 1.3881,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.6103,                 1.2353,                 1.3502,                0.76597,                0.56772,                0.63844,                0.31786,                 1.6688,                 1.1603,                 1.3861,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.5998,                 1.2111,                  1.342,                0.79431,                0.55412,                0.63889,                0.31758,                 1.6657,                 1.1626,                 1.3867,               0.000614,               0.000614,               0.000614
                     37,                 1.5929,                 1.1976,                 1.3389,                0.78955,                0.55889,                0.63726,                0.31476,                 1.6733,                 1.1566,                 1.3879,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.5881,                 1.1972,                 1.3315,                0.79221,                0.55627,                0.63525,                0.31705,                 1.6676,                 1.1528,                 1.3777,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.5822,                 1.1824,                 1.3286,                0.78271,                0.56199,                0.63993,                0.31781,                 1.6791,                 1.1451,                 1.3908,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.5687,                 1.1653,                 1.3231,                 0.7878,                0.57392,                0.64299,                0.31874,                 1.6731,                 1.1411,                 1.3827,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.5685,                 1.0896,                 1.3362,                0.75564,                0.57805,                0.64008,                0.31662,                 1.6731,                 1.1399,                 1.3874,               0.000416,               0.000416,               0.000416
                     42,                 1.5526,                 1.0674,                 1.3305,                 0.7834,                0.57088,                0.64398,                0.31866,                 1.6701,                 1.1402,                  1.388,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.5429,                 1.0434,                 1.3201,                0.79327,                0.56909,                0.64557,                0.31888,                  1.676,                 1.1357,                 1.3873,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.5362,                 1.0407,                 1.3188,                0.79751,                0.56159,                0.64215,                0.31854,                 1.6769,                 1.1386,                 1.3886,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.5303,                 1.0259,                 1.3162,                 0.8049,                0.56266,                0.64551,                0.32011,                 1.6784,                 1.1329,                 1.3881,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.5163,                 1.0078,                 1.3037,                0.76805,                0.57415,                0.64457,                0.32147,                 1.6805,                 1.1282,                 1.3891,               0.000218,               0.000218,               0.000218
                     47,                 1.5006,                0.99714,                 1.3008,                0.76949,                0.57627,                0.64318,                0.31833,                 1.6843,                 1.1331,                 1.3967,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.4975,                0.98772,                 1.2933,                0.81089,                0.55794,                0.64353,                0.31799,                 1.6837,                 1.1344,                 1.3932,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.4981,                0.97853,                 1.2952,                0.79494,                  0.567,                0.64268,                0.31818,                 1.6814,                 1.1322,                 1.3925,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.4847,                0.97267,                 1.2856,                0.80021,                0.56199,                 0.6441,                0.31932,                 1.6815,                 1.1334,                  1.392,               5.96e-05,               5.96e-05,               5.96e-05
